"CUST_ITEM_CF_HAIR_MED": "セミロング"
"CUST_ITEM_CM_HAIR_MIDPARTMED": "ショートミドル"
"CUST_CAT_MAKEUP_ENTIRE_FACE": "顔全体"
"CUST_COMP_FACE_MAKEUP_7": "ライジングサン"
"VEHICLE_PAINT_METALLIC_PAINT": "メタリック塗料"
"CUST_ITEM_CM_IMPB_UBDY_M_TURTLENECK": "普通のタートルネック"
"CUST_ITEM_CM_NLMB_HAT_M_SKULLYKNIT": "ブラザーワッチキャップ"
"CUST_ITEM_FEMALE_PLANETSAINTS_BRA_1": "セインツブラジャー"
"CUST_ITEM_5_O'CLOCK_SHADOW": "サージェント"
"CUST_TATTOO_RHAND_7": "タトゥーR7"
"CUST_ITEM_CM_NLMB_UBDY_M_TRASH": "トラッシュTシャツ"
"CUST_ITEM_MID_LENGTH_LARGE_CHAIN": "プレミアムジーンズ"
"PLAYER_MORPH_BALL_HEIGHT_TEXT": "鼻先の高さ"
"CUST_COLOR_CLOTHING_VIOLET-RED_6": "バイオレットレッド6"
"CUST_COLOR_CLOTHING_BROWNS_7": "ブラウン7"
"CUST_COMP_MUSTACHE_10": "描きヒゲ"
"COMPONENT_DECAL_5": "デカール5"
"CUST_VARIANT_ANIMAL": "アニマル"
"CUST_WEAR_BUTTONED": "ボタン留"
"FACIAL_EXPRESSION_SLEEPY": "眠たげ"
"CUST_TATTOO_LHAND_8": "タトゥーL8"
"CUST_ITEM_WRESTLE_MASK_MALE": "ヘビーウェイトマスク"
"CUST_ITEM_CF_LPC_FOOT_F_FEMHEROBOOTS": "スティールポートヒロインブーツ"
"CUST_ITEM_CF_PSF_FOOT_F_SNEAKERS": "ローカットスケートシューズ"
"CUST_SKIN_PURPLE_3": "ソフトパープル"
"CUSTOM_WALK_10": "悪党6"
"PLAYER_MORPH_MOUTH_SIDES_SIZE_TEXT": "口角の大きさ"
"CUST_TATTOO_LOWBACK_3": "ブラス"
"CUST_COLOR_FLESH_3": "ベージュ3"
"CUST_VARIANT_TRACK_B2": "スタイル2"
"CUST_WEAR_NORMAL": "普通"
"CUST_ITEM_CM_LLO_HAND_M_SBLGLOVES": "ポケットロケットグローブ"
"FACIAL_EXPRESSION_MELLOW": "くつろぎ"
"PLAYER_MORPH_EARS_SPACING_TEXT": "耳の間隔"
"PLAYER_MORPH_CHEEKBONE_WIDTH_TEXT": "頬骨の幅"
"RIM_SET_005": "リムセット5"
"COMPONENT_OPTION_7": "オプション7"
"SK04": "肌04"
"CUST_WEAR_LEFT_ROLLED_UP": "左ロールアップ"
"CUST_WEAR_BACK_RIGHT": "背中右側"
"CUST_ITEM_LIPS_01": "リップグロス"
"CUST_TIE": "ネクタイ"
"CUSTOM_WALK_4": "クレイジー"
"PLAYER_MORPH_EAR_CURVE_TEXT": "耳の曲がり具合"
"CUST_COMP_EYE_MAKEUP_13": "エジプシャンプリンセス"
"CUST_VARIANT_SKIRTA": "スタイル3"
"CUST_VARIANT_ZEBRA_2": "ゼブラ2"
"CUST_ITEM_CF_LLS_FOOT_F_BOOTIES": "ホットギャングブーティ"
"CUST_VOICE_FEMALE_WHITE": "女性1"
"CUST_WPN_UPGRADE_DESC_EXPLOSIVE_SATCHEL_2": "携行できる爆弾が増えます"
"CUST_TATTOO_NECK_7": "ドレスドスカル"
"CUST_COMP_FACE_ROBOT_PARTS": "ロボットパーツ"
"CUST_WEAR_HAT": "帽子"
"CM_BLOWUPDOLL": "エクササイズドール"
"CUST_ITEM_BIKER_BOOTS_5": "ヘビーウェイトブーツ"
"PLAYER_MORPH_LOWER_LIP_WIDTH_TEXT": "下唇の幅"
"RIM_SET_020": "リムセット20"
"CUST_VARIANT_STRIPED": "ストライプ"
"CUST_ITEM_FEMALE_NLM_OUTFIT_F": "スチームパンクレディー"
"CUST_WPN_UPGRADE_DESC_PISTOL_GANG_2": "連射速度を上げます"
"CUST_COMP_EYE_MAKEUP_4": "強盗マスク"
"VEHICLE_COLOR_WINE_RED": "ワイン・レッド"
"HAIR_COLOR_STRAWBERRY_BLONDE": "ストロベリーブロンド"
"LOGO_NUMBER6": "NUMBER 6"
"CUST_ITEM_CM_FPIC_CHINSTUD": "あごスタッド"
"CUST_ITEM_CF_LLR_SUIT_F_LACE": "セクシーレースワンピース"
"CUST_ITEM_CF_NLMD_RWRST_F_WRISTBAND": "ロックブレスレット"
"CUST_ITEM_CF_NLMB_LBDY_F_SKIRT": "ワイルドチャイルドパンツ"
"CUST_ITEM_LEATHER_UNIFORM_GLOVES": "レザーグローブ"
"CUST_TATTOO_NECK": "首"
"SLOT_TIRES": "タイヤ"
"SLOT_FINS": "リアウィング"
"LOGO_KOBRA": "KOBRA"
"POLICE_OUTFIT": "警察ユニフォーム"
"CUST_VARIANT_FEMALE_SNAKE": "スネーク"
"CUST_VARIANT_ALTERNATING": "色違い"
"CUST_ITEM_WOMEN_S_BONDAGE_TOP_2": "レスリングトップス"
"PLAYER_CREATION_FIGURE_AVERAGE": "標準"
"CUST_TATTOO_UPPBACK_1": "スカルパイル"
"CUST_TATTOO_LEFT_SHOULDER": "左肩"
"STORE_WEAPON_CACHE": "アジトの武器を見る"
"CUST_WPN_UPGRADE_DESC_SHOTGUN_STAG_4": "連射速度、攻撃力を上げます"
"SLOT_DRAPES": "カーテン"
"LOGO_HEART": "HEART"
"MALE_ATHLETIC": "男性 アスリート"
"CUST_WEAR_UNTUCKED_UNBUTTONED": "裾出し ボタン開"
"CUST_TATTOO_UPPER_BODY": "上半身"
"CUST_VARIANT_07_DEFAULT": "変形7"
"CUST_INSULT_H": "ゲップ"
"PLAYER_MORPH_SKULL_TOP_WIDTH_TEXT": "頭頂部の幅"
"CUST_TATTOO_LCALF_4": "カップケーキ"
"VEHICLE_COLOR_COPPER": "カッパー"
"VEHICLE_COLOR_DEEP_BRONZE_BROWN": "ディープブロンズ・ブラウン"
"CUST_WEAR_TUCKED_BUTTONED_HIGH_PANT_SUSPENDERS": "裾入れ 腰深 サスペンダー有"
"CUST_ITEM_FEMALE_NLM_EARRINGS_6": "プリティスタッド"
"CUST_ITEM_FEMALE_LETSPRETEND_OUTFIT_E": "コンバットガール"
"CUST_ITEM_CF_IMPQ_SUIT_F_LATEXDRESS": "デザイナーワンピース"
"CUST_COMPLIMENT_G": "教えてやれ"
"CUST_COLOR_CLOTHING_GREYS_6": "グレー6"
"VEHICLE_COLOR_WHEATFIELD_YELLOW": "ウィートフィールド・イエロー"
"VEHICLE_PAINT_WHITE_WALL": "ホワイトウォール"
"LOGO_PRISON": "STILWATER CORRECTIONS"
"CUST_VARIANT_SHORT": "短め"
"CUST_VARIANT_PIN_STRIPES": "ピンストライプ"
"CUST_ITEM_CM_DLC_SAM_HAT_M_HELMET": "サムライヘルメット"
"CUST_CAT_SPECIAL_TSHIRTS": "特製Ｔシャツ"
"PLAYER_MORPH_EYE_SET_TEXT": "目の配置"
