"HASH_B9F9F000": "Maybe later, alright?"
"HASH_A4A903C5": "I have marked the general location for the first power cell, though I am surprised Kinzie also sent along Fake Shaundi to help us."
"HASH_CBCF5FC5": "Johnny, I just got you back.  Y'think you can  keep from dying all over again?"
"HASH_069F73C5": "For all your depressed goth needs, it's time to hack Nobody Loves Me.  Have fun."
"HASH_88AADBC5": "What's next, Kinzie?"
"HASH_6E8DE3C5": "I have to admit, that mech Kinzie was working on sure is impressive. How the hell does she know how to put together alien technology like that?"
"HASH_4C13DFC5": "Anything that'll get us to Zinyak."
"HASH_A6130BC5": "Johnny.  Johnny, are you all right?"
"HASH_FF3497C5": "Details, Kinzie.  And try to keep 'em simple."
"HASH_19075BC5": "Matt, I've been thinking...we could all be dead soon, so...shit I can't believe I'm saying this...you don't have to die a virgin."
"HASH_489D0FC5": "Stubborn and defensive? Sounds like Asha all right. "
"HASH_147B7FC5": "Y'know what? Don't worry about it. I'll find Johnny."
"HASH_36AAEBC5": "Just a minute, Kinzie..."
"HASH_E81ABFC5": "Don't you dare get my hopes up Kinzie..."
"HASH_07EF0BC5": "Then let's get to the next portal."
"HASH_6107F7C5": "Great.  I'm sick of this place."
"HASH_247BB3C6": "Kinzie, we need some place to hide out, come up with a plan."
"HASH_EF1983C6": "Johnny's not here, he must be on the move..."
"HASH_BE9E0FC6": "We'll get you back, Kinzie, just hang on."
"HASH_24DE0BC6": "Are you shooting at this ship, Kinzie?"
"HASH_7963F3C6": "*song lyrics*"
"HASH_A3B4CFC6": "Tastes wonderful!"
"HASH_637093C6": "Can't get through this door... Kinzie; time for you to do your magic."
"HASH_861543C6": "Curse my short attention span!"
"HASH_17141FC7": "Legwork, huh? All right."
"HASH_FA2E1BC7": "Well I don't think they'd help you out now."
"HASH_6F4F0BC7": "Why do we always have to do the driving?"
"HASH_62E35BC7": "Guess I'm not really in a hurry...to do anything. At all. HEY!"
"HASH_0DCD8FC7": "I'll guard the VIP. You get to cover!"
"HASH_FD0DB3C7": "You know me so well."
"HASH_7ADDE7C7": "Don't you dare melt my statue, Paul!"
"HASH_90DA7BC7": "And saving brilliant hackers from becoming June Cleaver."
"HASH_E674E7C7": "Here goes nothing..."
"HASH_5AD617C7": "Wait, is that a shield generator?"
"HASH_F8296FC7": "As opposed to whatever that thing is tearing it to pieces anyway?"
"HASH_467D93C7": "What's happened to Keith?"
"HASH_1B6593C7": "I feel like this should be set to music!"
"HASH_BC383FC7": "Not going to happen now, sorry."
"HASH_FC2227C7": "Just a little bit longer..."
"HASH_1BC517C7": "While you reflect on what you just said, Kinzie, I'm going to follow the aliens to my friend."
"HASH_C18B83C7": "I need every advantage I can get."
"HASH_495417C7": "So hack stores for you.  Got it."
"HASH_A4A7B7C7": "Pierce, you mind explaining to me what's been going on here?"
"HASH_31CE7BC7": "That... seems like a good reason to go get them.  I'm in."
"HASH_4B288BC7": "DELETE"
"HASH_6E1CABC8": "That assumes you're going to win.  You know what they say about assuming things."
"HASH_88C9D7C8": "Can you get me into Zinyak's throne room, Kinzie?"
"HASH_5B9EFFC8": "His journey finally over, Johnny Gat was once again able to hold Aisha in his arms...but the reunion was soon over as the street tough remembered the tragedy that claimed his love so many years ago."
"HASH_23FF43C8": "Your people know a coward when they see one."
"HASH_49C8F3C8": "Pssh"
"HASH_E33D3BC8": "Watches.  I got watches here.  Yo, hey man, this shit'll cost you six hundred dollars in the store.  Oh whatever, man...  Watches, yo I got watches."
"HASH_1F9557C8": "Apparently, Zinyak's people are all over the city."
"HASH_32A8ABC8": "What do you have in mind?"
"HASH_65FB0BC8": "Wait, is that a shield generator?"
"HASH_80593BC8": "Look lady, we're doing this in my time!"
"HASH_7042EFC8": "Hey! You're the one who keeps running."
"HASH_511BA7C8": "These things are broken."
"HASH_86B237C8": "Wow. You're really going all out with this."
"HASH_B0F62BC8": "This isn't pride... This is extreme prejudice."
"HASH_906003C9": "Yeah, fuck context!"
"HASH_E6EE33C9": "A 'thank you' would've been nice..."
"HASH_7CF257C9": "Let's go save a hacker."
"HASH_BEFA93C9": "Stop talkin' about it, and just do it."
"HASH_A2D333C9": "Okay, okay. No superpowers. For now."
"HASH_C22CEBC9": "Yaaaaah!"
"HASH_035B2FC9": "This would be a lot harder if Zinyak put force fields around his power generators."
"HASH_23FF23C9": "Your help ensures I am able to keep them open permanently.  A benefit to us both."
"HASH_99A34BC9": "Ooh. That's a good line."
"HASH_2D2E47C9": "Come on, we'll find him."
"HASH_BF2867C9": "Not until you get your powers."
"HASH_56EF57C9": "I took out three of the relays. That's it, right?"
"HASH_7E2B9FC9": "Good job, Kinzie."
"HASH_C7B48FC9": "You bet.  Just make sure the others get out, too."
"HASH_3F0BA7C9": "Was a time I could trust people."
"HASH_9091FBC9": "A duet takes serious concentration.  You really want me phoning it in?"
"HASH_CEA867C9": "Johnny, no!"
"HASH_3CF397CA": "I pulled your ass out of prison, Matt, the least you can do is help protect the ship!"
"HASH_086F97CA": "Reassuring isn't really Kinzie's thing."
"HASH_0FBCCFCA": "Ah Matthew. Sweet, sweet Matthew."
"HASH_7C0FF7CA": "Eesh. Pierce has some really issues."
"HASH_61B707CA": "Shaundi, what about you?"
"HASH_94817BCA": "Work fast."
"HASH_FEA787CA": "Keep on 'em!"
"HASH_9B19A7CA": "It ends here, Temple."
"HASH_E54C87CA": "DELETE"
"HASH_3BD9B3CA": "The cops just transformed into Zin."
"HASH_AE50D7CA": "Don't even go there. He hates when people bring that up."
"HASH_72A25FCA": "This one is just because I want to!"
"HASH_9D338FCA": "Focus on the mission, Matt."
"HASH_FF540BCA": "But even though you have no body you're still going to help me, right?"
"HASH_95E5F3CB": "Yeah, this is just like the old days.  Everyone's trying to kill me."
"HASH_3E186BCB": "Tell me you have something bigger than guns here, Pierce."
"HASH_A82B87CB": "One guy? No problem."
"HASH_8C64CFCB": "Pretending to shoot stuff."
"HASH_19E3AFCB": "What the hell is this?"
"HASH_030E63CB": "Aaaaah!"
"HASH_09824FCB": "Kinzie, I just may cry a little. Ha!"
"HASH_E1DFCBCB": "Tell me, Kinzie, was the White House destroyed utterly?"
"HASH_A071CBCB": "Overloading?"
"HASH_D3C97BCB": "The boss kept the crew together when we landed in Steelport.  First we took out that asshole Phillipe, and then Killbane for what he did to Johnny's funeral.  STAG was just icing on the cake, really.  I thought I'd be happy with revenge, but it was never the same.  Even when the boss won the election and we moved to the White House, I couldn't stop thinking about what Johnny would say about it all."
"HASH_952A83CB": "I can handle whatever that asshole throws at me."
"HASH_38B29BCB": "That's really not going to work for me. I hope you understand."
"HASH_88404FCB": "Uh. Yeah. Matthew, get us out of here."
"HASH_89DDABCB": "How is it that Shaundi went from that dreadlock wearin' stoner to how she is today?  There's gotta be a story behind that, though I'm sure it ain't pretty.  Poor girl."
"HASH_3B24D7CB": "*BEEP* it, fine! If I can't shoot him, I'll at least shut him up."
"HASH_F3099BCB": "Kinzie?  Qu'est-ce que c'est?"
"HASH_182AA3CB": "Good, then you can watch.  You wanted me live the dream, Matt, and that's just what I'm going to do.  Maybe absorbing strippers helped, maybe it didn't.  Either way, a legend is about to be born."
"HASH_29D98FCB": "Blind luck and bravado for the win."
"HASH_946177CB": "Ain't nothin' unethical about that!"
"HASH_662753CB": "Good point. So what's up?"
"HASH_07DFB7CB": "Got it."
"HASH_A4802FCB": "Okay, we're here. What now? Is this over?"
"HASH_AEA64FCC": "DELETE"
"HASH_0841FBCC": "DELETE"
"HASH_BFAD07CC": "Kinzie, if he can help us find the others then yes, I'm certain.  Now how does this work?"
"HASH_762A47CC": "Reporting for duty."
"HASH_965AF7CC": "She's just trying to look out for you.  Herself.  Whatever, the whole thing is confusing."
"HASH_B33287CC": "Dammit, Kinzie, you better--"
"HASH_6F21A7CC": "So now what?  I just keep my head down until you can pull me out of this place?"
"HASH_B84FCFCC": "If you insist..."
"HASH_135BF3CC": "Whoa, hold on, we're not leaving yet."
"HASH_96A2B7CC": "Yeah, I'm sure it's real fancy gun Matt..."
"HASH_C65A6BCC": "This looks like a good place."
"HASH_608C8FCC": "C'mon Matt, you play video games, shouldn't you be good at this?"
"HASH_565C8FCC": "Everybody in!"
"HASH_5D3733CD": "That's no moon."
"HASH_2A9B97CD": "Where is this fucking platform..."
"HASH_7B2A8BCD": "Understood.  Any other advice?"
"HASH_282313CD": "Sweet."
"HASH_91882FCD": "Planet Zin.  Go big or go home, am I right?"
"HASH_5846FFCD": "GAT VERSUS JYUNICHI"
"HASH_D6A39FCD": "Everyone's fine. The Zin grabbed me and--"
"HASH_3B7E13CD": "Careful. There's a guard ahead."
"HASH_867437CD": "Pierce! Ben! We gotta bounce!"
"HASH_02AF83CD": "Fuck this. I'm totally killing this guy."
"HASH_40C30BCD": "Maybe whoever this is can actually help us like he claims."
"HASH_0FE797CD": "A bit?"
"HASH_AA50A7CD": "Don't be mad at me for saving the Vice President first.  He really was on my way.  And besides, have you seen his movies?  He's like a jack-of-all-trades!  I, uh, could really use that kind of help finding you."
"HASH_E9A897CD": "Kinzie. I have a mech. I'll be fine."
"HASH_6AAA1FCD": "Some kinda device that'll get us to Zinyak."
"HASH_934077CD": "Every mission has its bumps."
"HASH_AC5563CD": "We're sitting ducks in here."
"HASH_7E00ABCD": "Believe me, that's a bad idea."
"HASH_E2B977CD": "Where's Kinzie, Keith?"
"HASH_6493BFCD": "Now they just need to get back to the prize room."
"HASH_8FBB0FCD": "That's a good question. She doesn't really dive into her past much."
"HASH_E6B583CD": "No, not gonna make this go any worse."
"HASH_5018DBCD": "Meaning?"
"HASH_5AB147CD": "Oh, I'm just fine."
"HASH_33E79BCE": "You're taking care of this, right Shaundi?"
"HASH_0F1BA3CE": "We got this!"
"HASH_2D2743CE": "Johnny, it's a tra..."
"HASH_AEBD57CE": "Matt Miller, the self-proclaimed hacker god, ran all the cyber terrorism for the Syndicate back in Steelport.  Now, he's Asha's right hand man in MI6.  I just hope we can trust him like she does."
"HASH_7986C3CE": "You got it."
"HASH_6F1027CE": "Um, Shaundi... Since when is the furry crowd into Veteran Child?"
"HASH_0FD40FCE": "Why are there two of me now?!"
"HASH_2942AFCE": "You haven't gotten high in a while, have you?"
"HASH_8F682BCE": "Eye beams?  Seriously?!"
"HASH_E3AFBFCE": "Matt, whatever it is can wait.  I have to focus on what I must do."
"HASH_E0B7E7CE": "I'm tellin' ya, man, it's too late. You gotta snap out of this, Johnny."
"HASH_325793CE": "I could if I had my fucking superpowers."
"HASH_A5945FCE": "Gotta keep the preassure on..."
"HASH_C9DA3BCE": "I'll see what I can find. There might be additional access points we use to increase the bandwidth."
"HASH_FA34FBCE": "Oh fuck...what's that taste in my throat?"
"HASH_93FEEFCE": "Have you tracked down Asha?"
"HASH_7A91E7CE": "Is this the island that pirate came from?"
"HASH_41DC53CE": "Even Pierce would be passing this shit after that speech."
"HASH_601C53CE": "I've reached the second one."
"HASH_D4A327CE": "Right.  Apologies."
"HASH_707AB3CF": "Okay, we powered up CID: how does that get us to Matt Miller?"
"HASH_E25ED3CF": "Indulge me. "
"HASH_DEDEFFCF": "What the fuck is HE?"
"HASH_9FC867CF": "You stole my homies!"
"HASH_486E73CF": "DELETE"
"HASH_BDE9EFCF": "Do you have any idea how insane that sounds?"
"HASH_F45287CF": "Well whaddya know, we're at the Three-Count! Matt, you sure know how to show a girl a good time."
"HASH_13508FCF": "Come on Keith, snap out of it!"
"HASH_8CD77BCF": "This changes nothing!"
"HASH_CD1D77CF": "Got it. Fill me in, Kinzie, what do we know about the Zin invasion?"
"HASH_6DE9ABCF": "Uh-uh."
"HASH_D69127CF": "Is Kinzie okay?"
"HASH_EC47D7CF": "Great, what asshole has Zinyak recruited--"
"HASH_ADC30BCF": "If you want doorways open to the ship, go hack stores until I can find a place to insert my own special virus."
"HASH_B9BE53CF": "Didn't you kinda drop Tanya out a window onto your car years ago?"
"HASH_9D20D3CF": "What, fighting against crazy enemy factions intent on trying to kill the Saints while causing mass amounts of destruction in the process of saving ourselves and the people around us who don't get caught in the crossfire?  Yeah, I was wondering that too."
"HASH_E4D1DBCF": "Hey, I heard \\"pilotable statue\\".  That's enough for me."
"HASH_92089FD0": "Right."
"HASH_E0A073D0": "There are two things I'm sure of, Tanya. I just performed the dance of the centure, and you're gonna die tonight."
"HASH_F09803D0": "Why?"
"HASH_F88263D0": "Of course they do.  Everyone always carries me through everything."
"HASH_8F9E2FD0": "Seeing how you handle an alien threat will really enhance the narrative of my new book."
"HASH_C099CBD0": "Never thought I'd see Gat again.  I know you and he helped me out back in the day, but I still get that feeling like he's gonna shiv me in my sleep sometimes for what the Vice Kings did to him.  Don't know, maybe I'll get over it someday, but I can't help watchin' my back."
"HASH_1CCE53D0": "Well, well, well..."
"HASH_CC0723D0": "Kinzie, the Zin must know we're coming.  They're all over the place."
"HASH_3E8413D0": "I'm surprised they have so many flaws in their security.  Then again, I'm just that good."
"HASH_322D23D0": "Dance like no one's watching!"
"HASH_E696FBD0": "Where am I in the real world? They're not, like, messing with my body, are they?"
"HASH_4DE89FD0": "Still not helping shut those down."
"HASH_A50043D0": "That sounds like a good thing."
"HASH_323F73D0": "Okay, gotta get out of the spotlight now..."
"HASH_5B57A3D0": "Feeling a little competition there, Johnny?"
"HASH_62FB3FD0": "Stay on target!"
"HASH_9F514BD0": "Precise is better. Let's get to the airlock."
"HASH_23382FD0": "Did he just turn into some kind of...Super-Genki?"
"HASH_127373D1": "I'm on my way."
"HASH_38130FD1": "You can do that? Without Matt?"
"HASH_B003A7D1": "God...I wonder if any of our other friends are stuck in these things and we don't even know it..."
"HASH_E0C9F3D1": "Who would be trying to kill Tammy Tolliver? Her boss, sure. But what did she do?"
"HASH_343B67D1": "You're not gonna let that drop, are you?"
"HASH_A7E3F7D1": "I am well and truly fucked!"
"HASH_E829BBD1": "I think you're selling it a bit much, Matt."
"HASH_7D8E3BD1": "Same difference."
"HASH_9B4C2BD1": "You can fly CID, do it yourself."
"HASH_707A4BD1": "Come on you alien bastards!"
"HASH_75982FD1": "These things are busted."
"HASH_2FE0A3D1": "What the hell is that big dome?"
"HASH_98F373D1": "I'm telling you, dance is my passion!"
"HASH_AAA05BD1": "Maero..."
"HASH_312AD3D2": "This would be great at a barbeque."
"HASH_E2FEDFD2": "Thanks for giving me a bigger target."
"HASH_BDEC8FD2": "Go ahead. Keep on killing as much of this cannon fodder as you want. Neither of you have ever cared much about human life, so why start now?"
"HASH_F67F77D2": "Time is a luxury I cannot afford."
"HASH_8FF78FD2": "I knew you could do it."
"HASH_371457D2": "Because open auditions are the dream of every dancer.  Preconceived notions of age, race, and training are gone, and all that matters is raw talent and the love of the art."
"HASH_C72077D2": "You have fun with that. I'm taking the air duct."
"HASH_31FC7BD2": "Are you there, Asha? Hold on, Matt wants to speak with me."
"HASH_43881BD2": "On to the next portal then?"
"HASH_189D27D2": "This is Shaundi's nightmare, Kinzie.  Trust me, this is where I'm supposed to be."
"HASH_5A52DBD2": "Do not delay."
"HASH_0744FBD2": "Ah. Nicely done."
"HASH_4056B3D2": "Hey, I always play nice."
"HASH_CCCAEFD2": "So what does Zinyak need with trucks?"
"HASH_7128FBD2": "Yeah, yeah, yeah Kinzie, I got this."
"HASH_F00293D2": "You bet your arse it is."
"HASH_341C13D2": "I take it you are satisfied with this arrangement?"
"HASH_DB5DBBD2": "What kind of plan we talking here?"
"HASH_C25FB3D2": "You got it."
"HASH_CA826BD2": "Of course I'm in, Josh."
"HASH_363713D2": "My new book is almost done. I'm just missing some minor details."
"HASH_45EA0BD2": "Perfectly matched for a score."
"HASH_D1337BD3": "You've got so much on your plate, Kinzie. With all this cybershit to do, I figure you can use the help."
"HASH_22010FD3": "I am so in the zone!"
"HASH_D03CA7D3": "Say what?"
"HASH_56327BD3": "I feel like this should be set to music!"
"HASH_979C0BD3": "Get through them."
"HASH_6579BFD3": "Move it people!"
"HASH_42934FD3": "I was just starting to warm up to your way of doing things too."
"HASH_709563D3": "Indeed. I'm not feeling anything."
"HASH_AE4957D3": "He's heading out the back!"
"HASH_C2FCB3D3": "Just focus on Keith!"
"HASH_927D3BD3": "Too right. But Kinzie has an idea."
"HASH_5B8D4FD3": "I touched it."
"HASH_17C017D3": "Meaning?"
